FIPS,emp_total_county_naics,emp_occupation,emp,qp1,ap,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
30085,1517,35.91402216795814,1517,25678,89019,283,136,45,15,0,0,0,0,0,0,0,0,0,0
30087,6652,50.58963070102902,6652,138948,593728,280,146,0,0,0,0,0,0,0,0,0,0,0,0
30089,4343,94.54212045903584,4343,48727,230166,694,420,33,0,0,0,0,0,0,0,0,0,0,0
30091,755,25.86963633914468,755,10471,49401,281,245,0,0,0,0,0,0,0,0,0,0,0,0
30093,35489,478.90226263613766,35489,555047,2241911,3399,1758,405,309,52,0,0,0,0,0,0,0,0,0
30095,1267,21.625223635744916,1267,13405,64660,395,277,48,0,0,0,0,0,0,0,0,0,0,0
30097,573,11.66378450423574,573,4815,23093,215,169,0,0,0,0,0,0,0,0,0,0,0,0
30099,1283,23.602384587309203,1283,17156,75460,404,263,0,0,0,0,0,0,0,0,0,0,0,0
30101,1211,16.136249734933426,1211,15365,71789,306,166,0,0,0,0,0,0,0,0,0,0,0,0
30105,1610,34.611973765008536,1610,13991,68619,441,294,64,0,0,0,0,0,0,0,0,0,0,0
30111,271573,3389.5493444124418,269373,3951387,18518528,25571,14248,4507,2965,1774,159,21,57,0,0,0,0,0,0
30999,138119,454.3549034671928,138119,1975555,7307023,1259,927,0,0,0,0,0,0,0,0,0,0,0,0
31001,57398,850.2010874308769,57398,563829,2847622,3769,1452,635,114,102,0,0,0,0,0,0,0,0,0
31003,4073,57.525202068137155,4073,41594,193738,553,255,0,99,0,0,0,0,0,0,0,0,0,0
31011,3303,55.65520613953267,3303,38788,199930,430,200,0,0,0,0,0,0,0,0,0,0,0,0
31013,4794,170.81096510169417,4794,48125,214792,814,366,64,0,0,0,0,0,0,0,0,0,0,0
31017,792,21.57137504148453,792,6342,29369,223,164,27,0,0,0,0,0,0,0,0,0,0,0
31019,139112,1794.1068493409273,139112,1724559,7321790,7056,3289,1303,616,204,0,0,0,0,0,0,0,0,0
31021,2750,32.97755077904873,2750,26157,118208,435,279,80,0,0,0,0,0,0,0,0,0,0,0
31023,2686,37.90255372201399,2686,27524,145394,386,160,48,0,0,0,0,0,0,0,0,0,0,0
31025,14753,370.7878100350738,14753,223614,900328,2430,1630,276,27,28,0,0,0,0,0,0,0,0,0
31027,4815,85.90944621186225,4815,50206,230341,840,410,0,51,0,0,0,0,0,0,0,0,0,0
31029,3075,60.094575150996256,3075,40906,174653,333,77,0,0,0,0,0,0,0,0,0,0,0,0
31031,941,19.003937654449917,941,6816,32250,229,114,0,0,0,0,0,0,0,0,0,0,0,0
31033,4774,83.38629466804787,4774,65242,277973,670,241,21,0,0,0,0,0,0,0,0,0,0,0
31035,4879,45.28101828426021,4879,52706,287456,333,103,0,0,0,0,0,0,0,0,0,0,0,0
31037,3605,56.24965617324503,3605,47735,196391,495,240,45,0,0,0,0,0,0,0,0,0,0,0
31039,7355,129.87029493587505,7355,83864,357633,1205,636,87,0,0,0,0,0,0,0,0,0,0,0
31041,4363,55.72958651309247,4363,42719,204462,963,703,36,0,0,0,0,0,0,0,0,0,0,0
31043,17700,218.67949893227504,17700,221335,1174675,1605,752,83,0,0,0,0,0,0,0,0,0,0,0
31045,1629,37.813048089431696,1629,14003,62915,396,224,32,0,0,0,0,0,0,0,0,0,0,0
31047,18665,240.22284317465108,18665,190019,847293,2053,1108,247,78,136,0,0,0,0,0,0,0,0,0
31051,3035,20.267246170949004,3035,39562,193437,249,175,12,0,0,0,0,0,0,0,0,0,0,0
31053,101686,782.8861508592798,101686,1221146,5774747,4459,2016,661,319,122,0,0,0,0,0,0,0,0,0
31055,1393923,13007.161710185552,1301737,17498427,81021116,67733,35789,10717,8061,5638,2692,1581,375,0,0,0,0,0,0
31059,8345,100.79259348669373,8345,111983,491700,681,138,102,136,0,0,0,0,0,0,0,0,0,0
31061,49,3.396494423272334,49,217,917,35,35,0,0,0,0,0,0,0,0,0,0,0,0
31063,481,18.204221741127327,481,3614,17264,65,39,0,0,0,0,0,0,0,0,0,0,0,0
31065,2679,49.59881559816082,2679,25118,118218,168,42,0,0,0,0,0,0,0,0,0,0,0,0
31067,19263,273.3653769013378,19263,208557,954167,2343,1296,141,262,0,78,0,0,0,0,0,0,0,0
31071,289,12.242597932316444,289,1993,8981,128,107,0,0,0,0,0,0,0,0,0,0,0,0
31073,156,1.3766173420604457,156,1224,5160,36,0,0,0,0,0,0,0,0,0,0,0,0,0
31077,846,12.410678297516998,846,7822,37300,126,6,0,0,0,0,0,0,0,0,0,0,0,0
31079,256744,3631.2640581764717,223075,2654104,13068000,8835,3515,1446,1155,449,0,255,0,0,0,0,0,0,0
31081,3868,73.55901601778838,3868,38702,180001,705,341,96,0,0,0,0,0,0,0,0,0,0,0
31087,1503,43.2056382002581,1503,13636,60862,86,18,0,0,0,0,0,0,0,0,0,0,0,0
31089,10703,151.76850212458018,10703,110568,513160,1186,673,146,0,0,0,0,0,0,0,0,0,0,0
31091,56,3.9357204529591137,56,329,1239,21,0,0,0,0,0,0,0,0,0,0,0,0,0
31093,1529,27.812981658510544,1529,12780,62640,419,336,0,0,0,0,0,0,0,0,0,0,0,0
31095,3798,46.76606853340022,3798,46173,241211,536,232,0,0,0,0,0,0,0,0,0,0,0,0
31097,220,2.3372242218113852,220,979,8123,82,55,0,0,0,0,0,0,0,0,0,0,0,0
31099,951,13.30742655077249,951,8221,39381,282,207,0,0,0,0,0,0,0,0,0,0,0,0
31101,3839,66.92477547534855,3839,56828,234288,659,336,220,0,0,0,0,0,0,0,0,0,0,0
31105,907,28.63624502226355,907,12456,59353,275,207,0,0,0,0,0,0,0,0,0,0,0,0
31107,648,19.412097072844645,648,5117,25025,286,252,15,0,0,0,0,0,0,0,0,0,0,0
31109,603806,6907.75943955926,589941,7463892,32778737,36982,19698,5959,4100,3183,950,206,0,0,0,0,0,0,0
31111,26739,323.6873982966223,26739,354794,1403523,3158,1372,611,176,57,0,0,0,0,0,0,0,0,0
31119,71956,922.5457715413182,71956,909467,4031996,4926,2370,924,398,95,0,0,0,0,0,0,0,0,0
31121,8848,105.289132473158,8848,105385,544829,926,305,57,0,102,0,0,0,0,0,0,0,0,0
31123,450,10.100899745295381,450,2244,10230,126,36,0,0,0,0,0,0,0,0,0,0,0,0
31125,255,9.22751208013422,255,2219,11989,108,77,0,0,0,0,0,0,0,0,0,0,0,0
31127,485,11.94538786127406,485,3596,18620,145,66,0,0,0,0,0,0,0,0,0,0,0,0
31129,1524,21.72190164476668,1524,18474,76812,323,177,45,0,0,0,0,0,0,0,0,0,0,0
31131,7859,102.31447111117733,7859,85459,428774,1262,717,85,0,0,0,0,0,0,0,0,0,0,0
31133,220,11.367956337141095,220,1581,7116,53,24,0,0,0,0,0,0,0,0,0,0,0,0
31135,2093,34.665858360637515,2093,19597,96884,393,198,0,0,0,0,0,0,0,0,0,0,0,0
31137,18343,198.6088285826282,18343,248637,1034809,1034,366,164,130,136,0,0,0,0,0,0,0,0,0
31139,3973,51.975180976061665,3973,45872,208640,640,231,66,0,0,0,0,0,0,0,0,0,0,0
31141,86706,1223.4969613358076,86706,1056749,4916996,4946,2321,628,112,232,0,0,0,0,0,0,0,0,0
31143,1492,22.651187628459706,1492,17794,93094,256,133,0,0,0,0,0,0,0,0,0,0,0,0
31145,9072,135.4996339186342,9072,90883,453707,1293,432,102,51,0,0,0,0,0,0,0,0,0,0
31147,1309,26.15835655551168,1309,8576,43249,322,183,36,0,0,0,0,0,0,0,0,0,0,0
31149,1152,15.849280838722988,1152,42304,101376,96,0,0,0,0,0,0,0,0,0,0,0,0,0
31151,6615,75.94809664472001,6615,65990,312122,822,419,0,0,0,0,0,0,0,0,0,0,0,0
31153,249747,2341.110375923245,249747,3533207,15385021,18557,9926,2778,1906,1659,478,250,0,0,0,0,0,0,0
31155,11361,115.74625382004216,11361,129826,636903,2038,1394,147,72,0,0,0,0,0,0,0,0,0,0
31157,35870,436.4920975378395,35870,371044,1740924,3849,1578,648,243,328,0,0,0,0,0,0,0,0,0
31159,11366,142.18932330021653,11366,122667,597120,1873,1093,352,0,0,0,0,0,0,0,0,0,0,0
31161,2738,48.13945743232158,2738,26640,120393,201,24,52,0,0,0,0,0,0,0,0,0,0,0
31163,708,10.209142306934838,708,5108,22075,115,28,87,0,0,0,0,0,0,0,0,0,0,0
31167,91,4.682449529669487,91,798,4585,49,28,0,0,0,0,0,0,0,0,0,0,0,0
31169,3499,62.2111503316525,3499,37106,188102,564,293,0,0,0,0,0,0,0,0,0,0,0,0
